recon_threshold,dns_tunnel_threshold,macro_f1,macro_recall,balanced_acc,recon_recall,recon_precision,dns_tunnel_recall,dns_tunnel_precision
0.5,0.5,0.8021,0.7854,0.7854,0.4444,0.8889,0.5,1.0
0.5,0.35,0.8021,0.7854,0.7854,0.4444,0.8889,0.5,1.0
0.5,0.25,0.8021,0.7854,0.7854,0.4444,0.8889,0.5,1.0
0.35,0.5,0.8193,0.804,0.804,0.5556,0.9091,0.5,1.0
0.35,0.35,0.8193,0.804,0.804,0.5556,0.9091,0.5,1.0
0.35,0.25,0.8193,0.804,0.804,0.5556,0.9091,0.5,1.0
0.25,0.5,0.7752,0.7951,0.7951,0.5556,0.1923,0.5,1.0
0.25,0.35,0.7752,0.7951,0.7951,0.5556,0.1923,0.5,1.0
0.25,0.25,0.7752,0.7951,0.7951,0.5556,0.1923,0.5,1.0
