feature_index,feature_name,importance
73,win_pair_delta_t_mean,0.05574489228661062
71,win_dst_avg_bytes_per_flow_60s,0.055562494936229084
7,bytes_per_packet,0.05185653178704626
62,win_src_total_orig_bytes_300s,0.049648525357701194
0,flow_duration,0.04935216002045678
10,bytes_asymmetry_ratio,0.04632144537075233
1,orig_bytes,0.04310077299518725
76,win_pair_orig_bytes_std,0.03402139352271535
8,orig_bytes_ratio,0.03239870539917789
32,dns_numeric_ratio,0.03185329027940176
59,win_src_unique_dst_ports_60s,0.03061575315038004
3,total_bytes,0.030300204074408903
9,orig_packets_ratio,0.02763446184911834
2,resp_bytes,0.026572215607741576
30,dns_subdomain_depth,0.02632031146030638
28,dns_query_len,0.02617761254426914
75,win_pair_delta_t_cv,0.02584406141636681
63,win_src_outbound_byte_rate_60s,0.025753479430264577
29,dns_query_entropy,0.02547641694557981
77,win_pair_total_orig_bytes_300s,0.023293445090316472
68,win_dst_inbound_flow_rate_10s,0.019380894675540484
23,conn_state_is_RSTO,0.018784916912316353
60,win_src_failed_conn_ratio_60s,0.017161549894577438
56,win_src_flow_count_60s,0.01715201262981991
13,is_registered_dst_port,0.01708978841719036
72,win_pair_flow_count_300s,0.01706219552985426
57,win_src_flow_rate_10s,0.01690171338022257
74,win_pair_delta_t_std,0.01599652337151294
24,history_len,0.013420049537148015
6,total_packets,0.013229085489598719
26,history_has_reset,0.012824721369770847
4,orig_packets,0.012753948869879149
12,is_well_known_dst_port,0.012748115910589228
22,conn_state_is_REJ,0.010137256906238692
20,conn_state_is_SF,0.010065045223793702
66,win_src_dns_unique_domains_60s,0.008588715163534332
33,dns_vowel_ratio,0.008425710367070769
5,resp_packets,0.0072860728638269945
64,win_src_dns_query_count_60s,0.007144786164786696
31,dns_max_label_len,0.005803899952413686
39,dns_rtt,0.005410158616905427
27,has_dns_context,0.004535490468036441
14,is_dynamic_dst_port,0.001964199135547632
25,history_has_syn,0.0017606711888603502
18,proto_is_udp,0.0014499107933430755
34,dns_qtype_is_A,0.0014249470988663207
21,conn_state_is_S0,0.0007689524734265355
50,ssl_sni_len,0.0005574615988316452
38,dns_answer_count,0.0004995562657867193
17,proto_is_tcp,0.00048496287060331266
49,has_ssl_context,0.00046239344066619127
70,win_dst_s0_syn_ratio_10s,0.00036969216311633573
65,win_src_dns_nxdomain_ratio_60s,0.0003151972421923239
61,win_src_s0_syn_ratio_60s,0.00016615013966280785
35,dns_qtype_is_TXT,2.508035043917091e-05
51,ssl_sni_entropy,1.7560266925250914e-18
37,dns_is_nxdomain,1.1965556909912619e-18
11,missed_bytes,0.0
15,is_src_private_ip,0.0
19,proto_is_icmp,0.0
36,dns_qtype_is_NULL,0.0
16,is_dst_private_ip,0.0
45,weird_anomaly_count_flow,0.0
44,has_weird_anomaly,0.0
43,quic_dcid_len,0.0
42,quic_sni_entropy,0.0
41,quic_sni_len,0.0
40,has_quic_context,0.0
52,ssl_is_outdated_version,0.0
53,ssl_is_self_signed,0.0
58,win_src_unique_dst_ips_60s,0.0
54,ssl_has_ja3_fingerprint,0.0
55,ssl_resumed_flag,0.0
46,weird_is_bad_syn_ack,0.0
48,weird_notice_flag,0.0
47,weird_is_bad_http,0.0
69,win_dst_unique_sources_60s,0.0
67,win_src_weird_count_60s,0.0
