model_name,train_macro_f1,train_balanced_acc,test_macro_precision,test_macro_recall,test_macro_f1,test_weighted_f1,test_balanced_acc
Dummy (Majority Class),0.0949,0.1667,0.0905,0.1667,0.1173,0.3824,0.1667
"Logistic Regression (Balanced, RobustScaled)",0.9943,0.9939,0.7752,0.7815,0.6582,0.2919,0.7815
Decision Tree (Balanced),1.0,1.0,0.5397,0.5177,0.414,0.2895,0.5177
"Random Forest (Balanced, 100 Trees)",1.0,1.0,0.6376,0.6852,0.5778,0.3528,0.6852
HistGradientBoosting (Balanced),1.0,1.0,0.8385,0.804,0.7941,0.8357,0.804
